name,type,nillable,substitutionGroup,annotation_documentation
AcquaintanceAssociation,nc:PersonAssociationType,true,,An association between people who recognize each other but do not know each other very well.
Activity,nc:ActivityType,true,,"A single or set of related actions, events, or process steps."
ActivityActualDuration,niem-xs:duration,true,,An actual duration of an activity.
ActivityAdministratorOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization which administers it.
ActivityAdministratorPersonAssociation,nc:ActivityPersonAssociationType,true,,An association between an activity and a person who administers it.
ActivityApprovedIndicator,niem-xs:boolean,true,,True if the activity request was approved; false otherwise.
ActivityAssignedDate,nc:DateType,true,,A date on which an activity was assigned.
ActivityBillRecipientOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization which receives a bill for the activity.
ActivityBillRecipientPersonAssociation,nc:ActivityPersonAssociationType,true,,An association between an activity and a person who receives a bill for the activity.
ActivityCapacityQuantity,nc:QuantityType,true,,A number for the specified maximum enrollment capacity of an activity.
ActivityCategoryText,nc:TextType,true,nc:ActivityCategoryAbstract,A kind of activity.
ActivityComment,nc:CommentType,true,,A comment about the activity.
ActivityCompletedIndicator,niem-xs:boolean,true,,True if an activity has ended; false otherwise.
ActivityContactEntity,nc:EntityType,true,,A person or organization to contact for additional information about an activity.
ActivityConveyanceAssociation,nc:ActivityConveyanceAssociationType,true,,An association between an activity and a conveyance.
ActivityDate,nc:DateType,true,,A date of an activity.
ActivityDescriptionText,nc:TextType,true,,A description of an activity.
ActivityDisposition,nc:DispositionType,true,,A result or outcome of an activity.
ActivityDocumentAssociation,nc:ActivityDocumentAssociationType,true,,An association between an activity and a document.
ActivityDueDate,nc:DateType,true,,A date when an activity is expected to be completed.
ActivityEffectiveDate,nc:DateType,true,,A date when an activity is ready for service or action.
ActivityEstimatedDuration,niem-xs:duration,true,,An expected amount of time an activity should last.
ActivityFacilityAssociation,nc:ActivityFacilityAssociationType,true,,An association between an activity and a facility.
ActivityFrequencyText,nc:TextType,true,,A description of the number of occurrences of an activity over a period of time.
ActivityIdentification,nc:IdentificationType,true,,An identification that references an activity.
ActivityInformationAbstracterOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization that abstracted information for that activity.
ActivityInformationClearerOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization that cleared information for that activity.
ActivityInvolvedOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization somehow involved in that activity.
ActivityInvolvementText,nc:TextType,true,nc:ActivityInvolvementAbstract,A description of the involvement of an entity in an activity.
ActivityItemAssociation,nc:ActivityItemAssociationType,true,,An association between an activity and an item.
ActivityLocation,nc:LocationType,true,,A location of an activity.
ActivityName,nc:TextType,true,,A name of an activity.
ActivityNarrative,nc:CommentType,true,,An account of an activity as reported by an observer.
ActivityPersonAssociation,nc:ActivityPersonAssociationType,true,,An association between a person and an activity in which a person was or may have been involved.
ActivityPrescribedDuration,niem-xs:duration,true,,A prescribed period of time allowed or required for an activity.
ActivityPrimaryOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization primarily associated with that activity.
ActivityReasonText,nc:TextType,true,nc:ActivityReasonAbstract,A reason for an activity.
ActivityRelationText,nc:TextType,true,nc:ActivityRelationAbstract,A relationship between activities.
ActivityReportedDate,nc:DateType,true,,A date an activity was reported to some entity.
ActivityReportingOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization that is reporting to that activity.
ActivityRequestedDate,nc:DateType,true,,A date an activity was requested by an entity.
ActivityResponsibleOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization with responsibility over that activity.
ActivityScheduleAssociation,nc:ActivityScheduleAssociationType,true,,An association between an activity and its schedule.
ActivityScheduledDate,nc:DateType,true,,A date when an activity is scheduled.
ActivitySequenceNumeric,nc:NumericType,true,,A numerical identifier across multiple activities to define the order that they should be scheduled and undertaken.
ActivitySiteAssociation,nc:ActivitySiteAssociationType,true,,An association between an activity and a site.
ActivityStatus,nc:StatusType,true,,A status of an activity.
ActivitySupervisorOrganizationAssociation,nc:ActivityOrganizationAssociationType,true,,An association between an activity and an organization supervising that activity.
ActivitySupervisorPersonAssociation,nc:ActivityPersonAssociationType,true,,An association between an activity and a person who supervises the activity.
ActivityVerifiedDate,nc:DateType,true,,A date when an activity is verified.
Address,nc:AddressType,true,nc:LocationAddressAbstract,"A set of location information, often described by postal information."
AddressBuildingName,nc:TextType,true,nc:AddressDeliveryPointAbstract,A name of a specific building at an address to distinguish it from other buildings at the same site.
AddressCategoryCode,nc:AddressCategoryCodeType,true,nc:AddressCategoryAbstract,A kind of address.
AddressCategoryText,nc:TextType,true,nc:AddressCategoryAbstract,A kind of address.
AddressCityName,nc:ProperNameTextType,true,,A name of a city or town.
AddressCountry,nc:CountryType,true,,"A country, territory, dependency, or other such geopolitical subdivision of a location."
AddressCountyName,nc:ProperNameTextType,true,nc:AddressCountyAbstract,"A name of a county, parish, vicinage, or other such geopolitical subdivision of a state."
AddressCrossStreet,nc:CrossStreetType,true,nc:LocationAddressAbstract,A location identified by two or more streets which intersect.
AddressDeliveryPointID,niem-xs:string,true,nc:AddressDeliveryPointAbstract,An identifier of a single place or unit at which mail is delivered.
AddressDeliveryPointText,nc:TextType,true,nc:AddressDeliveryPointAbstract,A single place or unit at which mail is delivered.
AddressFullText,nc:TextType,true,,A complete address.
AddressGrid,nc:AddressGridType,true,nc:LocationAddressAbstract,A location identified by a unit of a grid system overlaid on an area.
AddressGridID,niem-xs:string,true,,An identifier that references a unique address grid system.
AddressGridText,nc:TextType,true,,"A unit, quadrant, or other subdivision of an address grid."
AddressHighway,nc:HighwayType,true,nc:LocationAddressAbstract,A major public road.
AddressPostalCode,niem-xs:string,true,,An identifier of a post office-assigned zone for an address.
AddressPostalExtensionCode,niem-xs:string,true,,An identifier of a smaller area within a post office-assigned zone for an address.
AddressPrivateMailboxText,nc:TextType,true,,A private mailbox within a company.
AddressRecipientName,nc:TextType,true,,"A name of a person, organization, or other recipient to whom physical mail may be sent."
AddressRouteName,nc:TextType,true,nc:AddressDeliveryPointAbstract,A name and number of a postal route.
AddressSecondaryUnitText,nc:TextType,true,,A particular unit within a larger unit or grouping at a location.
AddressState,nc:StateType,true,,"A state, commonwealth, province, or other such geopolitical subdivision of a country."
AddressStreet,nc:StreetType,true,nc:AddressDeliveryPointAbstract,"A road, thoroughfare or highway."
AddressUrbanizationName,nc:TextType,true,,"An urbanization denotes an area, sector, or residential development within a geographic area. Commonly used in Puerto Rican urban areas, it is an important part of the addressing format, as it describes the location of a specific street whose name may occur multiple times within the same ZIP Code."
AdministrativeID,niem-xs:string,true,,An identifier generated locally within a processing system used to identify sub-records within an entity of interest record.
Agency,nc:OrganizationType,true,,A division of a governmental or international body.
Aircraft,nc:AircraftType,true,,A mode of transportation capable of flying in the air.
AircraftBaseAirport,nc:AirportType,true,,A facility at which an aircraft is usually kept.
AircraftCallSignIdentification,nc:IdentificationType,true,,"An identification of any combination of characters or pronounceable words, which identifies a communication facility, a command, an authority, an activity, or a unit; used primarily for establishing and maintaining communications."
AircraftFuselageColorText,nc:TextType,true,nc:AircraftFuselageColorAbstract,A color of the main body of an aircraft.
AircraftTailIdentification,nc:IdentificationType,true,,An identification of an aircraft.
AircraftWingColorText,nc:TextType,true,nc:AircraftWingColorAbstract,A color of the wings of an aircraft.
Airport,nc:AirportType,true,,"A facility where an aircraft may take off, land, be repaired or sheltered, or receive supplies."
AirportCodeText,nc:TextType,true,nc:AirportCodeAbstract,A code assigned to an airport facility used for identification.
Amount,niem-xs:decimal,true,,An amount of money.
AngleMeasure,nc:AngleMeasureType,true,,A measure of an angular value.
AngularDegreeValue,niem-xs:decimal,true,,A value that specifies a degree of an angular measure.
AngularMeasure,nc:AngularMeasureType,true,,A measurement of an angle.
AngularMinuteValue,nc:AngularMinuteType,true,,A value that specifies a minute of a degree. The value comes from a restricted range of 0 (inclusive) to 60 (exclusive).
AngularRateMeasure,nc:AngularRateMeasureType,true,,A measure of the angular rate of change.
AngularSecondValue,nc:AngularSecondType,true,,A value that specifies a second of a minute. The value comes from a restricted range of 0 (inclusive) to 60 (exclusive).
Anomaly,nc:AnomalyType,true,,An out-of-the-ordinary occurrence.
AnomalyCategoryText,nc:TextType,true,nc:AnomalyCategoryAbstract,A kind of anomaly.
AnomalyContactInformation,nc:ContactInformationType,true,,A point of contact for further information regarding an anomaly.
AnomalyDateTime,nc:DateType,true,,A date and time an anomaly occurred.
AnomalyDescriptionText,nc:TextType,true,,A description of an anomaly.
AnomalyLocation,nc:LocationType,true,,A location where an anomaly occurred.
Area,nc:AreaType,true,,A location identified by geographic boundaries.
AreaCircularRegion,nc:CircularRegionType,true,nc:AreaRegionAbstract,A circular area identified by a center coordinate and a radius.
AreaDescriptionText,nc:TextType,true,,A description of an area.
AreaMeasure,nc:AreaMeasureType,true,,A measure of the amount of space covered by a flat surface or piece of land.
