name,annotation_documentation,is_abstract
ActivityAugmentationPoint,An augmentation point for ActivityType.,true
ActivityCategoryAbstract,A data concept for a kind of activity.,true
ActivityConveyanceAssociationAugmentationPoint,An augmentation point for ActivityConveyanceAssociationType.,true
ActivityDocumentAssociationAugmentationPoint,An augmentation point for ActivityDocumentAssociationType.,true
ActivityFacilityAssociationAugmentationPoint,An augmentation point for ActivityFacilityAssociationType.,true
ActivityInvolvementAbstract,A data concept for a description of the involvement of an entity in an activity.,true
ActivityItemAssociationAugmentationPoint,An augmentation point for ActivityItemAssociationType.,true
ActivityOrganizationAssociationAugmentationPoint,An augmentation point for ActivityOrganizationAssociationType.,true
ActivityPersonAssociationAugmentationPoint,An augmentation point for ActivityPersonAssociationType.,true
ActivityReasonAbstract,A data concept for a reason for an activity.,true
ActivityRelationAbstract,A data concept for a relationship between activities.,true
ActivityScheduleAssociationAugmentationPoint,An augmentation point for ActivityScheduleAssociationType.,true
ActivitySiteAssociationAugmentationPoint,An augmentation point for nc:ActivitySiteAssociationType.,true
AddressAugmentationPoint,An augmentation point for AddressType.,true
AddressCategoryAbstract,A data concept for a kind of address.,true
AddressCountyAbstract,"A data concept for a county, parish, vicinage, or other such geopolitical subdivision of a state.",true
AddressDeliveryPointAbstract,A data concept for a single place or unit at which mail is delivered.,true
AddressGridAugmentationPoint,An augmentation point for AddressGridType.,true
AircraftAugmentationPoint,An augmentation point for AircraftType.,true
AircraftCategoryAbstract,A data concept for categorizing aircraft based upon intended use or operating limitations.,true
AircraftFuselageColorAbstract,A data concept for a primary color of the main body of an aircraft.,true
AircraftMakeAbstract,A data concept for a manufacturer of an aircraft.,true
AircraftModelAbstract,A data concept for a specific design or kind of aircraft made by a manufacturer.,true
AircraftStyleAbstract,A data concept for a style of an aircraft.,true
AircraftWingColorAbstract,A data concept for a primary color of the wings on an aircraft.,true
AirportAugmentationPoint,An augmentation point for AirportType.,true
AirportCodeAbstract,A data concept for a code assigned to an airport used for identification.,true
AmountAugmentationPoint,An augmentation point for AmountType.,true
AngleMeasureAugmentationPoint,An augmentation point for type nc:AngleMeasureType,true
AngleUnitAbstract,A data concept for a unit of measure of an angle value.,true
AngularMeasureAugmentationPoint,An augmentation point for AngularMeasureType.,true
AngularRateMeasureAugmentationPoint,An augmentation point for type nc:AngularRateMeasureType,true
